"id","boro_ct2000","median_hh_income"
2027,"2013300","16426"
2028,"2013500","14667"
1936,"2013700","22437"
1622,"2013800","48813"
1656,"2013900","21685"
911,"2014100","14123"
912,"2014300","8606"
1059,"2014400","22656"
1456,"2014500","14264"
1796,"2014700","10775"
1480,"2014900","14353"
1966,"2015100","18448"
1967,"2015300","20918"
46,"2015400","52339"
1102,"2015500","17616"
676,"2015600","56343"
47,"2015700","20685"
675,"2015800","33438"
878,"2016000","45828"
1103,"2016100","16308"
48,"2016200","50833"
49,"2016300","0"
914,"2016400","50733"
1964,"2016500","11442"
50,"2016600","41776"
690,"2016700","14432"
1050,"2016900","16591"
1826,"2017100","0"
1973,"2017300","18375"
51,"2017500","14172"
1992,"2017700","14931"
2013,"2017900","17685"
1975,"2018100","22514"
1974,"2018300","24802"
913,"2018400","44167"
1716,"2018700","0"
1603,"2018900","25163"
1604,"2019300","13609"
1911,"2019400","51705"
1470,"2019500","20402"
1015,"2019600","34297"
2015,"2019700","22904"
2022,"2019800","28783"
1452,"2019900","22231"
2035,"2020100","21398"
52,"2020200","35000"
53,"2020400","34024"
1328,"2020500","21754"
54,"2020601","29831"
55,"2020602","34276"
754,"2020800","32572"
845,"2021000","32813"
56,"2021100","19109"
846,"2021200","34444"
1457,"2021301","15603"
725,"2021302","24899"
1527,"2021400","68542"
1115,"2021501","18207"
1458,"2021502","16768"
31,"2021601","33955"
1535,"2021602","34866"
1460,"2021701","15066"
726,"2021702","20833"
1506,"2021800","26264"
1109,"2021900","18750"
1846,"2022000","11190"
1049,"2022100","20603"
1531,"2022300","19677"
2116,"2022401","30278"
692,"2022402","30982"
1532,"2022500","20393"
2011,"2022701","19219"
743,"2022702","20625"
742,"2022703","29063"
722,"2022800","32877"
855,"2022901","25402"
1965,"2022902","21600"
2117,"2023000","26042"
1544,"2023100","15700"
32,"2023200","30598"
2012,"2023301","24094"
33,"2023302","31466"
733,"2023400","31105"
34,"2023501","27591"
1575,"2023502","19504"
35,"2023600","29669"
1952,"2023701","21369"
1940,"2023702","16111"
1989,"2023900","17548"
1482,"2024000","29770"
1946,"2024100","19692"
753,"2024200","36000"
36,"2024300","21029"
732,"2024400","45000"
1673,"2024500","22261"
37,"2024600","51350"
1697,"2024700","37950"
1299,"2024800","49063"
2211,"2024900","63125"
38,"2025000","38854"
2212,"2025100","23841"
39,"2025200","46563"
1495,"2025300","20956"
40,"2025400","45476"
2206,"2025500","21135"
1106,"2025600","34712"
1691,"2025700","29570"
1921,"2025800","16250"
1314,"2026100","55438"
1315,"2026300","26343"
1912,"2026400","49099"
796,"2026500","21306"
1126,"2026601","31480"
1127,"2026602","35248"
730,"2026700","27379"
1213,"2026900","31832"
1797,"2027101","10825"
886,"2027102","61250"
724,"2027300","27819"
1288,"2027400","49712"
1502,"2027600","0"
723,"2027700","25988"
982,"2027900","40308"
1588,"2028100","39655"
949,"2028300","35362"
1503,"2028400","0"
1788,"2028500","35634"
1327,"2028600","48571"
